Indicator,Geographic Area,Geographic Identifier,Race,Sex,Age,Time Period,n (Unweighted),Estimate % (weighted),2.5%,97.5%
Presumed vaccination without infection,District of Columbia,11,Non-Hispanic White,Overall,Overall,2022 Quarter 1,43,79.6,62.35,90.19
Presumed vaccination without infection,District of Columbia,11,Other,Overall,Overall,2022 Quarter 1,3,58.77,13.89,92.64
Presumed vaccination without infection,Delaware,10,Hispanic,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Delaware,10,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1,63.19,4.12,98.56
Presumed vaccination without infection,Delaware,10,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Presumed vaccination without infection,Delaware,10,Non-Hispanic White,Overall,Overall,2022 Quarter 1,5,68.38,16.24,96.02
Presumed vaccination without infection,Delaware,10,Other,Overall,Overall,2022 Quarter 1,2,100,34.24,100
Presumed vaccination without infection,Florida,12,Hispanic,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Florida,12,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Florida,12,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Florida,12,Non-Hispanic White,Overall,Overall,2022 Quarter 1,6,40.82,16.81,70.18
Presumed vaccination without infection,Florida,12,Other,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Georgia,13,Hispanic,Overall,Overall,2022 Quarter 1,16,40.89,23.72,60.61
Presumed vaccination without infection,Georgia,13,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,9,28.74,14.53,48.89
Presumed vaccination without infection,Georgia,13,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,30,38.92,27.24,52.02
Presumed vaccination without infection,Georgia,13,Non-Hispanic White,Overall,Overall,2022 Quarter 1,699,34.96,29.76,40.55
Presumed vaccination without infection,Georgia,13,Other,Overall,Overall,2022 Quarter 1,5,28.46,10.71,56.89
Presumed vaccination without infection,Iowa,19,Hispanic,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Iowa,19,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Iowa,19,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Iowa,19,Non-Hispanic White,Overall,Overall,2022 Quarter 1,117,24.28,19.59,29.68
Presumed vaccination without infection,Iowa,19,Other,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Idaho,16,Hispanic,Overall,Overall,2022 Quarter 1,10,36.62,14.23,66.81
Presumed vaccination without infection,Idaho,16,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,91.27,45.09,99.25
Presumed vaccination without infection,Idaho,16,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Idaho,16,Non-Hispanic White,Overall,Overall,2022 Quarter 1,420,33.26,29.53,37.2
Presumed vaccination without infection,Idaho,16,Other,Overall,Overall,2022 Quarter 1,5,35,14.42,63.24
Presumed vaccination without infection,Illinois,17,Hispanic,Overall,Overall,2022 Quarter 1,17,52.06,32.27,71.22
Presumed vaccination without infection,Illinois,17,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,8,79.14,46.38,94.33
Presumed vaccination without infection,Illinois,17,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,3,18.4,5.17,48.26
Presumed vaccination without infection,Illinois,17,Non-Hispanic White,Overall,Overall,2022 Quarter 1,471,32.9,28.42,37.72
Presumed vaccination without infection,Illinois,17,Other,Overall,Overall,2022 Quarter 1,4,65.51,13.29,95.93
Presumed vaccination without infection,Indiana,18,Hispanic,Overall,Overall,2022 Quarter 1,5,28.44,12.71,52.04
Presumed vaccination without infection,Indiana,18,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1,48.91,4.51,95.1
Presumed vaccination without infection,Indiana,18,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,2,32.08,5.89,78.11
Presumed vaccination without infection,Indiana,18,Non-Hispanic White,Overall,Overall,2022 Quarter 1,465,32.45,27.74,37.53
Presumed vaccination without infection,Indiana,18,Other,Overall,Overall,2022 Quarter 1,2,24.28,3.99,71.2
Presumed vaccination without infection,Kansas,20,Hispanic,Overall,Overall,2022 Quarter 1,6,23.8,10.25,46.05
Presumed vaccination without infection,Kansas,20,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,3,36.24,4.88,86.29
Presumed vaccination without infection,Kansas,20,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Kansas,20,Non-Hispanic White,Overall,Overall,2022 Quarter 1,442,31.06,27.95,34.36
Presumed vaccination without infection,Kansas,20,Other,Overall,Overall,2022 Quarter 1,3,28.96,8.68,63.62
Presumed vaccination without infection,Kentucky,21,Hispanic,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Presumed vaccination without infection,Kentucky,21,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,100,34.24,100
Presumed vaccination without infection,Kentucky,21,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,2,67.83,11.36,97.2
Presumed vaccination without infection,Kentucky,21,Non-Hispanic White,Overall,Overall,2022 Quarter 1,254,35.71,29.2,42.79
Presumed vaccination without infection,Kentucky,21,Other,Overall,Overall,2022 Quarter 1,3,56.47,6.55,96
Presumed vaccination without infection,Louisiana,22,Hispanic,Overall,Overall,2022 Quarter 1,4,45.91,14.33,81.16
Presumed vaccination without infection,Louisiana,22,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,54.74,12.21,91.31
Presumed vaccination without infection,Louisiana,22,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,15,26.31,15.39,41.21
Presumed vaccination without infection,Louisiana,22,Non-Hispanic White,Overall,Overall,2022 Quarter 1,130,33.42,25.66,42.2
Presumed vaccination without infection,Louisiana,22,Other,Overall,Overall,2022 Quarter 1,5,72.86,32.86,93.64
Presumed vaccination without infection,Massachusetts,25,Hispanic,Overall,Overall,2022 Quarter 1,13,62.29,41.02,79.68
Presumed vaccination without infection,Massachusetts,25,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,20,77.92,60.3,89.13
Presumed vaccination without infection,Massachusetts,25,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,6,83.9,38.79,97.72
Presumed vaccination without infection,Massachusetts,25,Non-Hispanic White,Overall,Overall,2022 Quarter 1,786,61.97,58.15,65.65
Presumed vaccination without infection,Massachusetts,25,Other,Overall,Overall,2022 Quarter 1,4,22.16,7.85,48.73
Presumed vaccination without infection,Maryland,24,Hispanic,Overall,Overall,2022 Quarter 1,11,57.33,30.7,80.29
Presumed vaccination without infection,Maryland,24,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,18,76.64,54.83,89.87
Presumed vaccination without infection,Maryland,24,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,23,53.9,35.82,71
Presumed vaccination without infection,Maryland,24,Non-Hispanic White,Overall,Overall,2022 Quarter 1,543,55.27,49.16,61.22
Presumed vaccination without infection,Maryland,24,Other,Overall,Overall,2022 Quarter 1,7,69.59,30.31,92.33
Presumed vaccination without infection,Maine,23,Hispanic,Overall,Overall,2022 Quarter 1,1,18.2,1.36,78.25
Presumed vaccination without infection,Maine,23,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Presumed vaccination without infection,Maine,23,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Maine,23,Non-Hispanic White,Overall,Overall,2022 Quarter 1,345,62.64,55.4,69.37
Presumed vaccination without infection,Maine,23,Other,Overall,Overall,2022 Quarter 1,3,40.03,3.01,93.48
Presumed vaccination without infection,Michigan,26,Hispanic,Overall,Overall,2022 Quarter 1,4,28.75,9.63,60.44
Presumed vaccination without infection,Michigan,26,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,13,57.39,32.57,78.97
Presumed vaccination without infection,Michigan,26,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,8,44.62,22.56,69.02
Presumed vaccination without infection,Michigan,26,Non-Hispanic White,Overall,Overall,2022 Quarter 1,1078,39.89,36.7,43.16
Presumed vaccination without infection,Michigan,26,Other,Overall,Overall,2022 Quarter 1,6,45.51,16.31,78.17
Presumed vaccination without infection,Minnesota,27,Hispanic,Overall,Overall,2022 Quarter 1,14,46.52,26.99,67.17
Presumed vaccination without infection,Minnesota,27,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,9,75.89,46.75,91.86
Presumed vaccination without infection,Minnesota,27,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,26.62,2.51,83.65
Presumed vaccination without infection,Minnesota,27,Non-Hispanic White,Overall,Overall,2022 Quarter 1,1217,39.75,36.3,43.3
Presumed vaccination without infection,Minnesota,27,Other,Overall,Overall,2022 Quarter 1,5,41.28,14.81,73.97
Presumed vaccination without infection,Missouri,29,Hispanic,Overall,Overall,2022 Quarter 1,6,71.23,35.81,91.66
Presumed vaccination without infection,Missouri,29,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,76.76,19.77,97.79
Presumed vaccination without infection,Missouri,29,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,7,65.76,32.85,88.29
Presumed vaccination without infection,Missouri,29,Non-Hispanic White,Overall,Overall,2022 Quarter 1,473,36.79,32.4,41.4
Presumed vaccination without infection,Missouri,29,Other,Overall,Overall,2022 Quarter 1,2,46.38,3.6,95.25
Presumed vaccination without infection,Mississippi,28,Hispanic,Overall,Overall,2022 Quarter 1,2,14.99,2.58,54.01
Presumed vaccination without infection,Mississippi,28,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Mississippi,28,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,19,33.56,20.5,49.74
Presumed vaccination without infection,Mississippi,28,Non-Hispanic White,Overall,Overall,2022 Quarter 1,132,25.24,18.89,32.86
Presumed vaccination without infection,Mississippi,28,Other,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Montana,30,Hispanic,Overall,Overall,2022 Quarter 1,13,32.63,14.29,58.44
Presumed vaccination without infection,Montana,30,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,4,52.26,7.63,93.56
Presumed vaccination without infection,Montana,30,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Montana,30,Non-Hispanic White,Overall,Overall,2022 Quarter 1,406,33.42,29.66,37.4
Presumed vaccination without infection,Montana,30,Other,Overall,Overall,2022 Quarter 1,6,14.72,4.04,41.43
Presumed vaccination without infection,North Carolina,37,Hispanic,Overall,Overall,2022 Quarter 1,12,41.21,22.1,63.4
Presumed vaccination without infection,North Carolina,37,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,10,77.35,38.3,94.95
Presumed vaccination without infection,North Carolina,37,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,33,60.85,46.55,73.51
Presumed vaccination without infection,North Carolina,37,Non-Hispanic White,Overall,Overall,2022 Quarter 1,1322,47.34,42.69,52.03
Presumed vaccination without infection,North Carolina,37,Other,Overall,Overall,2022 Quarter 1,9,49.5,23.3,75.97
Presumed vaccination without infection,North Dakota,38,Hispanic,Overall,Overall,2022 Quarter 1,5,25.46,9.08,53.89
Presumed vaccination without infection,North Dakota,38,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,3,25.33,6.44,62.58
Presumed vaccination without infection,North Dakota,38,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,North Dakota,38,Non-Hispanic White,Overall,Overall,2022 Quarter 1,365,25.89,23.31,28.65
Presumed vaccination without infection,North Dakota,38,Other,Overall,Overall,2022 Quarter 1,4,40.75,12.62,76.62
Presumed vaccination without infection,Nebraska,31,Hispanic,Overall,Overall,2022 Quarter 1,8,56.61,21.16,86.38
Presumed vaccination without infection,Nebraska,31,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,4,85.34,40.64,98.02
Presumed vaccination without infection,Nebraska,31,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Nebraska,31,Non-Hispanic White,Overall,Overall,2022 Quarter 1,433,29.97,26.76,33.39
Presumed vaccination without infection,Nebraska,31,Other,Overall,Overall,2022 Quarter 1,1,16.28,0.97,79.48
Presumed vaccination without infection,New Hampshire,33,Hispanic,Overall,Overall,2022 Quarter 1,1,21.39,3.16,69.38
Presumed vaccination without infection,New Hampshire,33,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,50.44,4.63,95.53
Presumed vaccination without infection,New Hampshire,33,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,New Hampshire,33,Non-Hispanic White,Overall,Overall,2022 Quarter 1,379,53.54,46.48,60.45
Presumed vaccination without infection,New Hampshire,33,Other,Overall,Overall,2022 Quarter 1,1,21.18,1.66,81.03
Presumed vaccination without infection,New Jersey,34,Hispanic,Overall,Overall,2022 Quarter 1,5,43.82,13.98,78.92
Presumed vaccination without infection,New Jersey,34,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,43.91,7.84,87.82
Presumed vaccination without infection,New Jersey,34,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,2,14.89,3.28,47.47
Presumed vaccination without infection,New Jersey,34,Non-Hispanic White,Overall,Overall,2022 Quarter 1,285,42.87,36.85,49.12
Presumed vaccination without infection,New Jersey,34,Other,Overall,Overall,2022 Quarter 1,2,32.76,2.34,90.82
Presumed vaccination without infection,New Mexico,35,Hispanic,Overall,Overall,2022 Quarter 1,501,46.78,43.1,50.5
Presumed vaccination without infection,New Mexico,35,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,18,55.87,34.99,74.86
Presumed vaccination without infection,New Mexico,35,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,11,45.06,23.57,68.57
Presumed vaccination without infection,New Mexico,35,Non-Hispanic White,Overall,Overall,2022 Quarter 1,560,50.83,47.28,54.36
Presumed vaccination without infection,New Mexico,35,Other,Overall,Overall,2022 Quarter 1,45,45.69,34,57.88
Presumed vaccination without infection,Nevada,32,Hispanic,Overall,Overall,2022 Quarter 1,95,27.73,22.32,33.87
Presumed vaccination without infection,Nevada,32,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,76,44.51,34.86,54.59
Presumed vaccination without infection,Nevada,32,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,17,22.11,12.26,36.58
Presumed vaccination without infection,Nevada,32,Non-Hispanic White,Overall,Overall,2022 Quarter 1,705,35.49,32.92,38.15
Presumed vaccination without infection,Nevada,32,Other,Overall,Overall,2022 Quarter 1,40,41.5,28.61,55.67
Presumed vaccination without infection,New York,36,Hispanic,Overall,Overall,2022 Quarter 1,17,61.8,39.12,80.29
Presumed vaccination without infection,New York,36,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,10,64.42,35.49,85.63
Presumed vaccination without infection,New York,36,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,8,37.91,16,66.19
Presumed vaccination without infection,New York,36,Non-Hispanic White,Overall,Overall,2022 Quarter 1,1438,53.77,48.99,58.49
Presumed vaccination without infection,New York,36,Other,Overall,Overall,2022 Quarter 1,9,81.68,34.6,97.41
Presumed vaccination without infection,Ohio,39,Hispanic,Overall,Overall,2022 Quarter 1,11,28.89,16.28,45.9
Presumed vaccination without infection,Ohio,39,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,9,54.41,26.17,80.07
Presumed vaccination without infection,Ohio,39,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,17,65.22,44.03,81.72
Presumed vaccination without infection,Ohio,39,Non-Hispanic White,Overall,Overall,2022 Quarter 1,1495,37.86,35.32,40.47
Presumed vaccination without infection,Ohio,39,Other,Overall,Overall,2022 Quarter 1,3,17.68,5.22,45.58
Presumed vaccination without infection,Oklahoma,40,Hispanic,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Oklahoma,40,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Oklahoma,40,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,27.28,0.61,95.82
Presumed vaccination without infection,Oklahoma,40,Non-Hispanic White,Overall,Overall,2022 Quarter 1,106,36.88,25.69,49.69
Presumed vaccination without infection,Oklahoma,40,Other,Overall,Overall,2022 Quarter 1,9,45.78,9.76,86.83
Presumed vaccination without infection,Oregon,41,Hispanic,Overall,Overall,2022 Quarter 1,27,50.37,30.17,70.45
Presumed vaccination without infection,Oregon,41,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,17,73.62,50.11,88.58
Presumed vaccination without infection,Oregon,41,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,47.81,2.71,96.79
Presumed vaccination without infection,Oregon,41,Non-Hispanic White,Overall,Overall,2022 Quarter 1,911,56.95,52.99,60.81
Presumed vaccination without infection,Oregon,41,Other,Overall,Overall,2022 Quarter 1,14,52.69,22.91,80.67
Presumed vaccination without infection,Pennsylvania,42,Hispanic,Overall,Overall,2022 Quarter 1,12,47.61,26.25,69.89
Presumed vaccination without infection,Pennsylvania,42,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,3,24,6.65,58.32
Presumed vaccination without infection,Pennsylvania,42,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,6,35.25,14.12,64.33
Presumed vaccination without infection,Pennsylvania,42,Non-Hispanic White,Overall,Overall,2022 Quarter 1,811,41.53,37.96,45.19
Presumed vaccination without infection,Pennsylvania,42,Other,Overall,Overall,2022 Quarter 1,5,61.22,20.22,90.77
Presumed vaccination without infection,South Carolina,45,Hispanic,Overall,Overall,2022 Quarter 1,9,46.77,22.79,72.34
Presumed vaccination without infection,South Carolina,45,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,4,41.57,17.27,70.8
Presumed vaccination without infection,South Carolina,45,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,16,38.41,23.35,56.08
Presumed vaccination without infection,South Carolina,45,Non-Hispanic White,Overall,Overall,2022 Quarter 1,381,42.03,34.69,49.74
Presumed vaccination without infection,South Carolina,45,Other,Overall,Overall,2022 Quarter 1,2,46.46,3.62,95.25
Presumed vaccination without infection,South Dakota,46,Hispanic,Overall,Overall,2022 Quarter 1,6,22.65,9.15,45.99
Presumed vaccination without infection,South Dakota,46,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,4,74.3,21.46,96.83
Presumed vaccination without infection,South Dakota,46,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,South Dakota,46,Non-Hispanic White,Overall,Overall,2022 Quarter 1,225,22.15,18.95,25.73
Presumed vaccination without infection,South Dakota,46,Other,Overall,Overall,2022 Quarter 1,6,36.15,15.61,63.4
Presumed vaccination without infection,Tennessee,47,Hispanic,Overall,Overall,2022 Quarter 1,5,18.87,6.88,42.29
Presumed vaccination without infection,Tennessee,47,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,9,54.87,17.21,87.67
Presumed vaccination without infection,Tennessee,47,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,50,59.66,48.74,69.7
Presumed vaccination without infection,Tennessee,47,Non-Hispanic White,Overall,Overall,2022 Quarter 1,398,36.44,31.9,41.24
Presumed vaccination without infection,Tennessee,47,Other,Overall,Overall,2022 Quarter 1,5,46.35,14.25,81.79
Presumed vaccination without infection,Texas,48,Hispanic,Overall,Overall,2022 Quarter 1,334,34.24,30.47,38.21
Presumed vaccination without infection,Texas,48,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,17,40.73,23.08,61.14
Presumed vaccination without infection,Texas,48,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,14,49.69,21.64,77.94
Presumed vaccination without infection,Texas,48,Non-Hispanic White,Overall,Overall,2022 Quarter 1,327,32.77,28.8,37.01
Presumed vaccination without infection,Texas,48,Other,Overall,Overall,2022 Quarter 1,8,19.44,8.36,38.97
Presumed vaccination without infection,Utah,49,Hispanic,Overall,Overall,2022 Quarter 1,11,24.47,9.54,49.89
Presumed vaccination without infection,Utah,49,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,6,25.08,5.99,63.78
Presumed vaccination without infection,Utah,49,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,2,100,34.24,100
Presumed vaccination without infection,Utah,49,Non-Hispanic White,Overall,Overall,2022 Quarter 1,524,39.02,35.08,43.1
Presumed vaccination without infection,Utah,49,Other,Overall,Overall,2022 Quarter 1,4,40.53,8.2,83.86
Presumed vaccination without infection,Virginia,51,Hispanic,Overall,Overall,2022 Quarter 1,11,31.54,16.91,51.04
Presumed vaccination without infection,Virginia,51,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,9,43.56,23.8,65.61
Presumed vaccination without infection,Virginia,51,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,24,44.57,30.95,59.06
Presumed vaccination without infection,Virginia,51,Non-Hispanic White,Overall,Overall,2022 Quarter 1,992,52.34,47.52,57.11
Presumed vaccination without infection,Virginia,51,Other,Overall,Overall,2022 Quarter 1,9,55.96,27.43,81.03
Presumed vaccination without infection,Vermont,50,Hispanic,Overall,Overall,2022 Quarter 1,2,100,34.24,100
Presumed vaccination without infection,Vermont,50,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Presumed vaccination without infection,Vermont,50,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Presumed vaccination without infection,Vermont,50,Non-Hispanic White,Overall,Overall,2022 Quarter 1,167,66.07,56.72,74.31
Presumed vaccination without infection,Vermont,50,Other,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,Washington,53,Hispanic,Overall,Overall,2022 Quarter 1,33,53.73,37.67,69.05
Presumed vaccination without infection,Washington,53,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,13,66.89,44.1,83.8
Presumed vaccination without infection,Washington,53,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,3,47.81,4.27,94.95
Presumed vaccination without infection,Washington,53,Non-Hispanic White,Overall,Overall,2022 Quarter 1,744,44.89,40.64,49.21
Overall,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 4,15647,100,,
Presumed vaccination without infection,Washington,53,Other,Overall,Overall,2022 Quarter 1,11,45.44,23,69.91
Presumed vaccination without infection,Wisconsin,55,Hispanic,Overall,Overall,2022 Quarter 1,7,50.34,21.71,78.75
Presumed vaccination without infection,Wisconsin,55,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,4,91.62,47.92,99.24
Presumed vaccination without infection,Wisconsin,55,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,18.82,1.81,74.44
Presumed vaccination without infection,Wisconsin,55,Non-Hispanic White,Overall,Overall,2022 Quarter 1,990,40.48,37.07,43.98
Presumed vaccination without infection,Wisconsin,55,Other,Overall,Overall,2022 Quarter 1,5,49.36,18.38,80.84
Presumed vaccination without infection,West Virginia,54,Hispanic,Overall,Overall,2022 Quarter 1,1,7.51,0.77,45.85
Presumed vaccination without infection,West Virginia,54,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Presumed vaccination without infection,West Virginia,54,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Presumed vaccination without infection,West Virginia,54,Non-Hispanic White,Overall,Overall,2022 Quarter 1,116,44.55,36.18,53.25
Presumed vaccination without infection,West Virginia,54,Other,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Presumed vaccination without infection,Wyoming,56,Hispanic,Overall,Overall,2022 Quarter 1,13,47.82,21.9,74.98
Presumed vaccination without infection,Wyoming,56,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1,49.34,4.17,95.62
Presumed vaccination without infection,Wyoming,56,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,25.82,2.84,80.57
Presumed vaccination without infection,Wyoming,56,Non-Hispanic White,Overall,Overall,2022 Quarter 1,195,27.62,23.51,32.15
Presumed vaccination without infection,Wyoming,56,Other,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Alabama,01,Hispanic,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Alabama,01,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Alabama,01,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Alabama,01,Non-Hispanic White,Overall,Overall,2022 Quarter 1,19,9.73,4.29,20.6
Neither past infection nor vaccination,Alabama,01,Other,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Arkansas,05,Hispanic,Overall,Overall,2022 Quarter 1,1,100,20.65,100
Neither past infection nor vaccination,Arkansas,05,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,,,
Neither past infection nor vaccination,Arkansas,05,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,,,
Neither past infection nor vaccination,Arkansas,05,Non-Hispanic White,Overall,Overall,2022 Quarter 1,8,17.54,6.3,40.22
Neither past infection nor vaccination,Arkansas,05,Other,Overall,Overall,2022 Quarter 1,0,,,
Neither past infection nor vaccination,Arizona,04,Hispanic,Overall,Overall,2022 Quarter 1,36,5.94,3.17,10.89
Neither past infection nor vaccination,Arizona,04,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,7,5.88,2.4,13.66
Neither past infection nor vaccination,Arizona,04,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,3,2.71,0.82,8.57
Neither past infection nor vaccination,Arizona,04,Non-Hispanic White,Overall,Overall,2022 Quarter 1,466,9.72,8.72,10.81
Neither past infection nor vaccination,Arizona,04,Other,Overall,Overall,2022 Quarter 1,9,8.05,3.22,18.73
Neither past infection nor vaccination,California,06,Hispanic,Overall,Overall,2022 Quarter 1,62,5.91,4.07,8.51
Neither past infection nor vaccination,California,06,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,21,3.17,1.73,5.73
Neither past infection nor vaccination,California,06,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,3,2.71,0.72,9.63
Neither past infection nor vaccination,California,06,Non-Hispanic White,Overall,Overall,2022 Quarter 1,613,8.42,7.5,9.44
Neither past infection nor vaccination,California,06,Other,Overall,Overall,2022 Quarter 1,16,9.22,3.98,19.94
Neither past infection nor vaccination,Colorado,08,Hispanic,Overall,Overall,2022 Quarter 1,15,3.35,1.61,6.82
Neither past infection nor vaccination,Colorado,08,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,0.8,0.22,2.8
Neither past infection nor vaccination,Colorado,08,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Colorado,08,Non-Hispanic White,Overall,Overall,2022 Quarter 1,316,6.82,6.03,7.71
Neither past infection nor vaccination,Colorado,08,Other,Overall,Overall,2022 Quarter 1,5,6.48,2.64,15.06
Neither past infection nor vaccination,Connecticut,09,Hispanic,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Connecticut,09,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Connecticut,09,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,0,0,,
Overall,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 4,27400,100,,
Neither past infection nor vaccination,Connecticut,09,Non-Hispanic White,Overall,Overall,2022 Quarter 1,46,7.25,4.54,11.38
Neither past infection nor vaccination,Connecticut,09,Other,Overall,Overall,2022 Quarter 1,0,0,,
